+0 trimmed\d0000\f0000.dwfm hw=3,5,3,5,4,5,4,1,4,4,4,1,4,4,5,6,4,7,3,4,6,2,6,4,3,3,6,3,3,4,1,4,4,5,5,5,2,3,6,2,4,3,3,5,6,3,5,6,4,4,3,4,5,6,1,4,3,3,2,4,3,5,4,4,3,6,4,3,5,6,3,4,3,6,2,2,5,2,5,5,4,2,6,6,5,3,1,6,4,3,3,3,2,3,2,6,4,2,5,6,3,5,2,5,4,4,4,2,4,3,4,5,3,4,3,2,6,4,6,4,4,4,3,4,7,5,6,3,5,1,5,1,2,4,3,3,4,5,4,5,7,4,6,5,4,5,4,5,2,5,5,3,4,6,5,3,5,2,5,3,6,2,3,5,2,3,4,4,2,4,4,4,7,7,6,3,2,4,6,4,3,4,5,3,4,5,2,3,3,5,1,3,6,5,7,4,3,3,3,4,4,5,2,0,5,4,4,3,5,3,5,7,5,5,5,5,2,4,5,2,3,4,3,5,5,2,4,3,7,6,5,5,6,4,4,3,5,2,5,4,2,3,5,5,3,4,4,3,4,4,4,6,3,4,8,5 pt=bc16355a9f3620d82267a562c361d364 ct=47ffb2eebda3b75e3ce033aee589ac2f xorriro=E06D54ECA53BE240938D6C089C3AD5FA8B7F25C3E70CF5D81C8A7786C80F80A655795D2F300DEE11960B989E7BC4A7FC6547706AEAED209A295181352C974DD2A8EB1D16ABF64A59A47D1222AE05763EC524BDAFAD13016FACA1916421B0827E3C18CBF362F20A7AB836C628CA5856DC2A332309F9E8BBF074174353FEE6DEC2B510B604A0CC19C1276B87B3DFB45FE95AF463D6506E75348ED77C68E590F852DD481A5E60615C394472C9E1EFBF3F94C071DBB24699574C2B9B03498CDA0238CF37FD2D921545661E5B8400E3954E0ED3A28FFBCDBAC74F8878D914D0AA85B9F1422E89F7BEBC1F9F69A9269D0673B14132673D31D44B83A3E41BB707D1FFCE
+0 trimmed\d0000\f0001.dwfm hw=3,5,3,5,4,5,4,1,4,4,4,1,4,4,5,6,4,7,3,4,6,2,6,4,3,3,6,3,3,4,1,4,4,5,5,5,2,3,6,2,4,3,3,5,6,3,5,6,4,4,3,4,5,6,1,4,3,3,2,4,3,5,4,4,3,6,4,3,5,6,3,4,3,6,2,2,5,2,5,5,4,2,6,6,5,3,1,6,4,3,3,3,2,3,2,6,4,2,5,6,3,5,2,5,4,4,4,2,4,3,4,5,3,4,3,2,6,4,6,4,4,4,3,4,7,5,6,3,5,1,5,1,2,4,3,3,4,5,4,5,7,4,6,5,4,5,4,5,2,5,5,3,4,6,5,3,5,2,5,3,6,2,3,5,2,3,4,4,2,4,4,4,7,7,6,3,2,4,6,4,3,4,5,3,4,5,2,3,3,5,1,3,6,5,7,4,3,3,3,4,4,5,2,0,5,4,4,3,5,3,5,7,5,5,5,5,2,4,5,2,3,4,3,5,5,2,4,3,7,6,5,5,6,4,4,3,5,2,5,4,2,3,5,5,3,4,4,3,4,4,4,6,3,4,8,5 pt=bc16355a9f3620d82267a562c361d364 ct=47ffb2eebda3b75e3ce033aee589ac2f xorriro=E06D54ECA53BE240938D6C089C3AD5FA8B7F25C3E70CF5D81C8A7786C80F80A655795D2F300DEE11960B989E7BC4A7FC6547706AEAED209A295181352C974DD2A8EB1D16ABF64A59A47D1222AE05763EC524BDAFAD13016FACA1916421B0827E3C18CBF362F20A7AB836C628CA5856DC2A332309F9E8BBF074174353FEE6DEC2B510B604A0CC19C1276B87B3DFB45FE95AF463D6506E75348ED77C68E590F852DD481A5E60615C394472C9E1EFBF3F94C071DBB24699574C2B9B03498CDA0238CF37FD2D921545661E5B8400E3954E0ED3A28FFBCDBAC74F8878D914D0AA85B9F1422E89F7BEBC1F9F69A9269D0673B14132673D31D44B83A3E41BB707D1FFCE
+0 trimmed\d0000\f0002.dwfm hw=5,6,5,2,5,6,2,2,2,4,5,3,2,4,5,3,4,4,6,3,3,5,2,5,3,4,6,1,5,5,4,5,2,4,2,4,3,2,4,5,3,4,3,4,4,3,5,5,4,3,2,7,3,3,3,3,1,6,4,8,4,5,4,2,6,4,4,4,5,4,7,6,4,3,5,3,3,4,4,4,6,7,5,5,3,4,6,6,4,3,4,5,2,6,6,6,3,4,3,5,4,4,0,4,4,6,4,5,3,3,4,3,5,4,5,4,4,5,5,4,5,7,5,2,6,6,3,4,3,3,3,4,4,6,2,4,5,7,3,5,4,3,6,5,4,6,4,3,7,5,2,4,6,3,3,5,2,2,2,6,3,5,4,5,4,3,6,3,5,5,1,4,5,5,4,2,5,1,4,2,5,3,3,5,4,3,3,4,2,5,4,5,4,3,5,2,3,5,2,7,4,3,3,2,6,4,4,2,5,5,3,6,6,3,3,4,5,4,3,4,4,5,4,4,1,3,1,7,3,5,3,5,1,5,3,6,3,4,4,6,1,4,5,3,3,4,2,5,4,5,3,2,2,4,6,5 pt=23165120b15b77093cb76b4ee42c5c9f ct=3123e6b7bd0acdf1b8ac956bf9b5cb19 xorriro=E55F2F28B5AFA0828817E95244F0EC942BD4F5C898EA90BC6239BE015D5B53CE301D22C9E0064EBA45630DCAB243D94F278560FE912925A8103F59FFA9CD56487E353C2DE6CCEFF61B073B238696B1D2CFBFA7370E36F9DD93190F9D03ED7DF3C4AA68D6786A00E147BBE47554A169648F9C6E33D8D36D2EB3FB6BC0D7E761B89289835C1E7705B4C7FD491FC68CEE5E99FCA5A4DF9B188DFA512A7A0C2481B7B0F195ABA6139F313D972055B9AD4B12DC04650973C170D59A2C1A714276E2AE8E46F411A2F884F73A0BC214DE72662179DA327BEB4C3487B67458C36CE35AAC028A087F4A3E1667407C156F1CD14DBD80A357D038E80AF28BCB265041C5DB9E
+0 trimmed\d0000\f0003.dwfm hw=5,6,5,2,5,6,2,2,2,4,5,3,2,4,5,3,4,4,6,3,3,5,2,5,3,4,6,1,5,5,4,5,2,4,2,4,3,2,4,5,3,4,3,4,4,3,5,5,4,3,2,7,3,3,3,3,1,6,4,8,4,5,4,2,6,4,4,4,5,4,7,6,4,3,5,3,3,4,4,4,6,7,5,5,3,4,6,6,4,3,4,5,2,6,6,6,3,4,3,5,4,4,0,4,4,6,4,5,3,3,4,3,5,4,5,4,4,5,5,4,5,7,5,2,6,6,3,4,3,3,3,4,4,6,2,4,5,7,3,5,4,3,6,5,4,6,4,3,7,5,2,4,6,3,3,5,2,2,2,6,3,5,4,5,4,3,6,3,5,5,1,4,5,5,4,2,5,1,4,2,5,3,3,5,4,3,3,4,2,5,4,5,4,3,5,2,3,5,2,7,4,3,3,2,6,4,4,2,5,5,3,6,6,3,3,4,5,4,3,4,4,5,4,4,1,3,1,7,3,5,3,5,1,5,3,6,3,4,4,6,1,4,5,3,3,4,2,5,4,5,3,2,2,4,6,5 pt=23165120b15b77093cb76b4ee42c5c9f ct=3123e6b7bd0acdf1b8ac956bf9b5cb19 xorriro=E55F2F28B5AFA0828817E95244F0EC942BD4F5C898EA90BC6239BE015D5B53CE301D22C9E0064EBA45630DCAB243D94F278560FE912925A8103F59FFA9CD56487E353C2DE6CCEFF61B073B238696B1D2CFBFA7370E36F9DD93190F9D03ED7DF3C4AA68D6786A00E147BBE47554A169648F9C6E33D8D36D2EB3FB6BC0D7E761B89289835C1E7705B4C7FD491FC68CEE5E99FCA5A4DF9B188DFA512A7A0C2481B7B0F195ABA6139F313D972055B9AD4B12DC04650973C170D59A2C1A714276E2AE8E46F411A2F884F73A0BC214DE72662179DA327BEB4C3487B67458C36CE35AAC028A087F4A3E1667407C156F1CD14DBD80A357D038E80AF28BCB265041C5DB9E
+0 trimmed\d0000\f0004.dwfm hw=6,5,3,2,4,3,6,5,4,5,3,5,4,3,4,4,3,5,3,3,4,2,4,5,5,4,2,6,5,4,3,5,5,5,4,3,6,4,5,6,5,3,3,7,5,6,3,4,6,3,4,5,5,7,3,5,5,1,4,3,4,4,3,4,6,6,4,6,3,4,5,6,1,3,7,6,3,5,2,5,3,4,4,3,3,5,3,5,4,4,3,2,6,3,4,3,3,6,4,4,5,4,5,3,1,4,4,2,5,4,2,5,5,3,6,7,6,5,6,3,6,4,3,3,6,0,5,3,3,2,4,5,2,2,4,5,3,4,3,5,4,1,5,4,2,4,2,4,4,4,2,4,5,7,4,3,4,5,2,4,4,5,5,4,2,3,4,2,1,7,5,4,2,3,4,3,5,4,4,4,4,3,5,2,3,5,3,1,2,3,3,4,2,4,2,4,5,5,4,4,3,6,1,2,2,3,3,6,5,4,5,2,5,6,4,4,3,1,6,8,4,3,6,4,3,7,4,4,7,6,5,5,5,5,5,5,4,2,3,2,5,5,3,3,4,3,2,6,5,2,3,6,4,4,4,6 pt=ff3882f818e012a15fb8d7c9d220a48b ct=4bdd3bb06c1252e7b15fc239fd5c066f xorriro=3F7C8A813C61DDCE33EA85B53992E1A952B32A383A8496F83B3606F3B62715E9AB8F5C64F5659DED2FA151BF5DCFC14BBDA4B49E6E7F2C67E380D4C46971495577FAC37B32AC75D7041AFB9F0BAD426D1CE8B254709B624F8B1DE0115F981731C2EECAB8A79A7986019C0F09EC53306BF2D0E7FD7D7AB70DBEC616A2BB00DA4558A06ABA0582D2F189CC13977402D9994435186C5A2D50D81FEF4E83473D122E66D5B91E60292B8808FE3EB10A91E426D6A5F0AAA643DC1434738C209046685922872193375B8E56B0FC10244823C87ECD63F441C7F9E2A31940EBFF72076FC54ADF8DC9F7F6CBAED3E55E767828A80357E64C25D10EC0DBBC0C94DE1B4D95AF
+0 trimmed\d0000\f0005.dwfm hw=6,5,3,2,4,3,6,5,4,5,3,5,4,3,4,4,3,5,3,3,4,2,4,5,5,4,2,6,5,4,3,5,5,5,4,3,6,4,5,6,5,3,3,7,5,6,3,4,6,3,4,5,5,7,3,5,5,1,4,3,4,4,3,4,6,6,4,6,3,4,5,6,1,3,7,6,3,5,2,5,3,4,4,3,3,5,3,5,4,4,3,2,6,3,4,3,3,6,4,4,5,4,5,3,1,4,4,2,5,4,2,5,5,3,6,7,6,5,6,3,6,4,3,3,6,0,5,3,3,2,4,5,2,2,4,5,3,4,3,5,4,1,5,4,2,4,2,4,4,4,2,4,5,7,4,3,4,5,2,4,4,5,5,4,2,3,4,2,1,7,5,4,2,3,4,3,5,4,4,4,4,3,5,2,3,5,3,1,2,3,3,4,2,4,2,4,5,5,4,4,3,6,1,2,2,3,3,6,5,4,5,2,5,6,4,4,3,1,6,8,4,3,6,4,3,7,4,4,7,6,5,5,5,5,5,5,4,2,3,2,5,5,3,3,4,3,2,6,5,2,3,6,4,4,4,6 pt=ff3882f818e012a15fb8d7c9d220a48b ct=4bdd3bb06c1252e7b15fc239fd5c066f xorriro=3F7C8A813C61DDCE33EA85B53992E1A952B32A383A8496F83B3606F3B62715E9AB8F5C64F5659DED2FA151BF5DCFC14BBDA4B49E6E7F2C67E380D4C46971495577FAC37B32AC75D7041AFB9F0BAD426D1CE8B254709B624F8B1DE0115F981731C2EECAB8A79A7986019C0F09EC53306BF2D0E7FD7D7AB70DBEC616A2BB00DA4558A06ABA0582D2F189CC13977402D9994435186C5A2D50D81FEF4E83473D122E66D5B91E60292B8808FE3EB10A91E426D6A5F0AAA643DC1434738C209046685922872193375B8E56B0FC10244823C87ECD63F441C7F9E2A31940EBFF72076FC54ADF8DC9F7F6CBAED3E55E767828A80357E64C25D10EC0DBBC0C94DE1B4D95AF
+0 trimmed\d0000\f0006.dwfm hw=5,3,3,3,3,4,3,2,4,5,3,1,1,2,4,4,4,3,5,3,3,4,4,6,4,3,2,3,3,5,5,5,1,3,6,5,4,2,4,5,3,2,4,5,2,3,4,5,4,6,5,6,3,3,5,4,5,5,7,5,4,5,6,2,2,2,3,2,6,5,3,6,4,4,5,4,5,3,3,4,5,5,4,4,5,3,4,4,4,3,7,5,4,1,4,7,5,2,3,5,6,3,3,1,4,6,6,6,5,4,7,2,5,4,2,2,4,5,4,3,6,5,3,4,7,3,7,3,5,4,3,5,4,5,4,3,3,4,6,3,4,2,6,3,1,5,5,7,5,4,4,5,6,4,5,2,3,4,4,5,5,3,1,2,3,2,6,5,6,5,5,4,6,5,2,4,4,3,3,3,6,4,4,3,4,4,4,4,6,4,6,2,5,7,5,3,3,4,6,4,0,2,5,3,3,3,5,6,3,4,3,2,2,2,4,2,3,3,5,5,4,4,4,3,5,4,5,4,3,6,4,5,4,4,6,2,2,6,5,5,4,4,3,5,4,2,8,3,5,4,1,6,6,4,3,4 pt=b3112736b2c81701d4a9e90b7ff061a2 ct=7c42742b336dab1c6a41c6b4312e4745 xorriro=DC32A22C4CC6D042D1E92602106078E859496E0DC4D8E4FC39133029A1EAE3F20838BE676C24B41F070CB2F15043B1EC8B7EB6BB98643BAAA7B5DF3E1B75B70982848C11BDE661DE47354F63F40B2A179B2F334B57C8368D6A707F5D3A80F0F776128997CFE086204EF6FA77F85ABF216D9C06909ABCD2153FD99165EFC2FD16B33C857369AB871C3493EB58A605EDA401ADB9FEE5D41DCB7D275B2851992BCE9E1A04415414F98FE737D52D5F7C880FC30E92629FA3CAB095E1C9B8DD55D7A0D3FB5E68258EF5A50044C75246237A7B19533181182296C0C1A8DA6B4D565C839DA93D7145F3C5AEAC1EAF0A03DBBAD6667294CDE248FF8A79CC40EE6F2E4A74
+0 trimmed\d0000\f0007.dwfm hw=5,3,3,3,3,4,3,2,4,5,3,1,1,2,4,4,4,3,5,3,3,4,4,6,4,3,2,3,3,5,5,5,1,3,6,5,4,2,4,5,3,2,4,5,2,3,4,5,4,6,5,6,3,3,5,4,5,5,7,5,4,5,6,2,2,2,3,2,6,5,3,6,4,4,5,4,5,3,3,4,5,5,4,4,5,3,4,4,4,3,7,5,4,1,4,7,5,2,3,5,6,3,3,1,4,6,6,6,5,4,7,2,5,4,2,2,4,5,4,3,6,5,3,4,7,3,7,3,5,4,3,5,4,5,4,3,3,4,6,3,4,2,6,3,1,5,5,7,5,4,4,5,6,4,5,2,3,4,4,5,5,3,1,2,3,2,6,5,6,5,5,4,6,5,2,4,4,3,3,3,6,4,4,3,4,4,4,4,6,4,6,2,5,7,5,3,3,4,6,4,0,2,5,3,3,3,5,6,3,4,3,2,2,2,4,2,3,3,5,5,4,4,4,3,5,4,5,4,3,6,4,5,4,4,6,2,2,6,5,5,4,4,3,5,4,2,8,3,5,4,1,6,6,4,3,4 pt=b3112736b2c81701d4a9e90b7ff061a2 ct=7c42742b336dab1c6a41c6b4312e4745 xorriro=DC32A22C4CC6D042D1E92602106078E859496E0DC4D8E4FC39133029A1EAE3F20838BE676C24B41F070CB2F15043B1EC8B7EB6BB98643BAAA7B5DF3E1B75B70982848C11BDE661DE47354F63F40B2A179B2F334B57C8368D6A707F5D3A80F0F776128997CFE086204EF6FA77F85ABF216D9C06909ABCD2153FD99165EFC2FD16B33C857369AB871C3493EB58A605EDA401ADB9FEE5D41DCB7D275B2851992BCE9E1A04415414F98FE737D52D5F7C880FC30E92629FA3CAB095E1C9B8DD55D7A0D3FB5E68258EF5A50044C75246237A7B19533181182296C0C1A8DA6B4D565C839DA93D7145F3C5AEAC1EAF0A03DBBAD6667294CDE248FF8A79CC40EE6F2E4A74
+0 trimmed\d0000\f0008.dwfm hw=4,4,4,3,7,3,5,3,4,5,3,3,3,3,4,4,6,2,4,4,4,3,2,3,3,4,2,4,5,5,7,5,5,4,4,3,4,3,6,3,3,5,4,2,4,4,2,6,5,4,6,6,5,3,4,4,4,5,4,4,6,5,6,5,3,2,5,6,3,3,4,3,5,6,2,4,5,6,2,3,5,2,4,5,5,5,5,3,5,4,4,3,6,3,2,4,3,6,2,3,4,3,3,3,2,6,5,2,4,3,1,4,5,6,4,2,5,3,3,4,6,2,2,4,6,6,6,2,4,5,5,4,2,5,4,4,0,5,3,5,4,3,2,2,4,2,7,1,4,2,3,3,3,6,5,4,3,3,5,6,5,3,7,4,1,5,2,3,4,3,4,7,2,6,4,4,1,4,5,4,4,2,4,5,1,5,5,5,4,3,5,2,4,5,4,5,5,5,3,5,8,6,6,3,3,3,7,4,6,6,6,5,3,5,5,4,5,5,7,5,5,4,1,4,1,4,4,6,3,4,5,5,7,4,3,4,5,4,4,1,6,3,5,5,4,3,4,4,4,2,3,2,3,3,3,3 pt=8c373f925907ff9daa86d83545e2feab ct=748069cf2bc5115836ef0ba3b0071e82 xorriro=B2E299327F49ECC46C6D345145D05317D781350F9626440E944B415A7CCDBFD6B9D2E452662ABE8AC1ADCC141DB809BB9DE85FF5DA836571635D3978F957DB6E0B90BC7E64922BA4B3FA12B14FFC8423DC0AC3F2E9AEBA16D93C8E463F4C306A98EE034356130D89189F6B483AC220F0A7DDB488758519D4B7C042CAAFDEF682C976F1AA069B9395003D1CE3745822509A21DF405C24388CE0E7972D4A68677D3791F7D8809E056136A84DEF60EDE15902C5AB8D87118B7A01EAD5F87286CE2855C7D15B3BB525CBFF6F77071531FEC6EBF3CFD31A795E4EE5F4FDB63E27042E08A3337B70A92F1FFBA65447E6A51B10BD2C738FACA1699C1EA0620C29C8A2B0
+0 trimmed\d0000\f0009.dwfm hw=4,4,4,3,7,3,5,3,4,5,3,3,3,3,4,4,6,2,4,4,4,3,2,3,3,4,2,4,5,5,7,5,5,4,4,3,4,3,6,3,3,5,4,2,4,4,2,6,5,4,6,6,5,3,4,4,4,5,4,4,6,5,6,5,3,2,5,6,3,3,4,3,5,6,2,4,5,6,2,3,5,2,4,5,5,5,5,3,5,4,4,3,6,3,2,4,3,6,2,3,4,3,3,3,2,6,5,2,4,3,1,4,5,6,4,2,5,3,3,4,6,2,2,4,6,6,6,2,4,5,5,4,2,5,4,4,0,5,3,5,4,3,2,2,4,2,7,1,4,2,3,3,3,6,5,4,3,3,5,6,5,3,7,4,1,5,2,3,4,3,4,7,2,6,4,4,1,4,5,4,4,2,4,5,1,5,5,5,4,3,5,2,4,5,4,5,5,5,3,5,8,6,6,3,3,3,7,4,6,6,6,5,3,5,5,4,5,5,7,5,5,4,1,4,1,4,4,6,3,4,5,5,7,4,3,4,5,4,4,1,6,3,5,5,4,3,4,4,4,2,3,2,3,3,3,3 pt=8c373f925907ff9daa86d83545e2feab ct=748069cf2bc5115836ef0ba3b0071e82 xorriro=B2E299327F49ECC46C6D345145D05317D781350F9626440E944B415A7CCDBFD6B9D2E452662ABE8AC1ADCC141DB809BB9DE85FF5DA836571635D3978F957DB6E0B90BC7E64922BA4B3FA12B14FFC8423DC0AC3F2E9AEBA16D93C8E463F4C306A98EE034356130D89189F6B483AC220F0A7DDB488758519D4B7C042CAAFDEF682C976F1AA069B9395003D1CE3745822509A21DF405C24388CE0E7972D4A68677D3791F7D8809E056136A84DEF60EDE15902C5AB8D87118B7A01EAD5F87286CE2855C7D15B3BB525CBFF6F77071531FEC6EBF3CFD31A795E4EE5F4FDB63E27042E08A3337B70A92F1FFBA65447E6A51B10BD2C738FACA1699C1EA0620C29C8A2B0
